"","term_id","source","term_name","p_value","query_size","term_size","intersection_size"
"1","REAC:R-HSA-112316","REAC","Neuronal System",4.58396480028123e-06,317,400,35
"2","REAC:R-HSA-112315","REAC","Transmission across Chemical Synapses",0.0150852331656183,317,259,21
